Distance,Slice,Total_KJG,Total_PMA,Other,Pharynx,Reproductive,Body_wall,Cuticle,Intestine,Excretory_nervous,total_lateralcord,lateral_cord,Pharynx_PMA,Reproductive_PMA,Body_wall_PMA,Cuticle_PMA,Intestine_PMA,total_lateralcord_PMA,Bad
1536,192,14,0,,,6,4,2,,,2,2L,,,,,,,T
1544,193,10,7,,,7,,,3,,,,,6,,,1,,
1552,194,13,5,,,4,,5,3,,1,1R,,4,,,1,,
1560,195,7,5,,,4,,,1,,2,1L_1R,,4,,,,1,
1568,196,8,7,,,5,,,1,,2,1L_1R,,6,,,,1,
1576,197,30,18,,,14,2,7,5,,2,2L,,13,,,3,2,
1584,198,25,16,,,15,,2,6,,2,1L_1R,,10,,,5,,
1592,199,,0,,,,,,,,,,,,,,,,T
1600,200,17,6,,,11,,,3,,3,1L_2R,,6,,,,,
1608,201,23,10,,,13,,,6,,4,2L_2R,,7,,,1,2,
1616,202,14,9,,,10,,,,,4,1L_3R,,6,,,2,1,
1624,203,32,21,,,21,3,,5,,3,2L_1R,,14,3,,4,,
1632,204,2,0,,,,1,1,,,,,,,,,,,
1640,205,23,18,,,13,,2,8,,,,,11,,,7,,
1648,206,12,12,,,8,,,4,,,,,8,,,4,,
1656,207,30,19,,,19,1,2,5,,3,1L_2R,,14,,,3,2,T
1664,208,13,10,,,7,,,5,,1,1R,,6,,,4,,
1672,209,26,21,,,16,1,,8,,1,1L,,14,,,7,,T
1680,210,25,19,,,18,,,3,,4,3L_1R,,15,,,3,1,
1688,211,18,16,,,14,,,3,,1,1L,,12,,,3,,
1696,212,26,17,,,21,,2,3,,,,,16,,,1,,
1704,213,25,15,,,13,,,2,,,,,13,,,2,,
1712,214,40,32,,,26,,2,11,,1,1L,,23,,,8,1,
1720,215,19,12,,,12,,2,3,,2,2L,,8,,,2,2,
1728,216,31,30,,,26,,,3,,2,2L,,25,,,3,2,
